title,rating,votes
Recess: Taking the Fifth Grade,6.7,2309
Unidentified Flying Mater,6.3,638
Rescue Squad Mater,6.1,652
Heavy Metal Mater,6,582
Super Rhino,6.3,1268
Moon Mater,6.1,539
Mater Private Eye,6.5,567
Recess: All Growed Down,6.3,933
Pony Excess,7.6,1073
Small Potatoes: Who Killed the USFL?,7.3,1247
Jordan Rides the Bus,6.8,1517
Fernando Nation,6.8,723
Secrets of the King Cobra,6.5,71
Big Sur-Wild California,6.4,92
Silly Little Game,6.4,802
The Little Mermaid Sing-Along,7.2,137055
Marvel One-Shot: Item 47,6.6,11247
Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,7.1,9952
Ice Age: A Mammoth Christmas,6.4,10931
Marvel One-Shot: The Consultant,6.4,9173
Beverly Hills Chihuahua 2,4.2,4343
Tangled Ever After,7.5,18557
Maggie Simpson in The Longest Daycare,7.2,5978
Sharpay's Fabulous Adventure,4.7,7293
Beverly Hills Chihuahua 3: Viva la Fiesta!,4.4,2323
La luna,6.4,5230
Spooky Buddies,4.5,2275
Small Fry,7,8005
Partysaurus Rex,7.4,8040
Hawaiian Vacation,7.2,9801
Air Mater,5.6,125
Treasure Buddies,4.4,2088
Time Travel Mater,6.2,905
The Legend of Mor'du,6.1,2301
The Ballad of Nessie,6.9,2223
There's No Place Like Home,6.4,75
America's Greatest Animals,5.9,59
Mickey's Mousekersize,7,28
Return of the Clouded Leopards,7.3,14
Cosmos,9.3,126068
Marvel One-Shot: Agent Carter,7.4,12507
Big Shot,7.5,5218
Brian and the Boz,7.3,975
Bad Boys,6.8,279323
Jingle All the Way 2,3.8,2655
Marvel One-Shot: All Hail the King,7.2,12446
The Day The Series Stopped,6.8,27
Tinker Bell and the Pirate Fairy,6.6,14260
Captain Sparky vs. The Flying Saucers,6.2,758
Tinker Bell and the Legend of the NeverBeast,7.1,9678
Survive and Advance,8.5,1305
Iron Man & Hulk: Heroes United,4.6,3496
Lava,7.2,18810
Party Central,7,3431
Super Buddies,4.2,1766
Phineas and Ferb: Mission Marvel,6.5,117
The Blue Umbrella,7.3,2174
The Radiator Springs 500½,6.3,461
Get a Horse!,7.5,5473
Hiccups,5.9,621
Spinning,7.6,16150
LEGO Star Wars: The New Yoda Chronicles - Clash of the Skywalkers,7.1,991
Bugged,4,310
LEGO Star Wars: The New Yoda Chronicles - Raid on Coruscant,7.1,991
LEGO Star Wars: The New Yoda Chronicles - Race For The Holocrons,7.1,991
